X,Y,City,State
-113.5582551,54.8393494,Island Lake,Alberta
-113.5582551,54.8393494,Island Lake South,Alberta
-114.0788987,53.0710619,Itaska Beach,Alberta
-113.989485,54.455893,Jarvie,Alberta
-114.0722362,52.3251188,Jarvis Bay,Alberta
-118.082429,52.8752336,Jasper,Alberta
-115.952693,55.397153,Joussard,Alberta
-115.128801,51.076336,Kananaskis,Alberta
-114.4487718,53.5548443,Kapasiwin,Alberta
-110.806961,54.122753,Kehewin,Alberta
-111.85691,52.7877367,Killam,Alberta
-112.749377,53.213152,Kingman,Alberta
-115.4331,55.331432,Kinuso,Alberta
-110.3327132,53.3418434,Kitscoty,Alberta
-116.406999,58.187466,La Crete,Alberta
-119.152768,55.404259,La Glace,Alberta
-113.7332149,52.472743,Lacombe,Alberta
-116.177255,51.425371,Lake Louise,Alberta
-114.1294175,50.9975865,Lakeview,Alberta
-112.7815589,53.760803,Lamont,Alberta
-113.679557,50.973242,Langdon,Alberta
-113.3837694,53.4808821,Larkspur,Alberta
-113.5519409,53.261927,Leduc,Alberta
-113.900851,53.194373,Leduc County,Alberta
-113.5954264,53.9487406,Legal,Alberta
-114.6014,52.3843,Leslieville,Alberta
-112.8515619,49.694285,Lethbridge,Alberta
-113.4891246,51.591042,Linden,Alberta
-110.0088499,53.279995,Lloydminster,Alberta
-115.316841,53.099902,Lodgepole,Alberta
-112.6416419,50.35014,Lomond,Alberta
-114.2307839,50.532999,Longview,Alberta
-111.5469072,52.7433563,Lougheed,Alberta
-112.8833404,49.4166627,Magrath,Alberta
-113.9639213,52.9732045,Ma-Me-O Beach,Alberta
-117.6272623,56.9234624,Manning,Alberta
-111.175607,53.3373297,Mannville,Alberta
-110.3333329,53.516667,Marwayne,Alberta
-113.447207,52.834432,Maskwacis,Alberta
-115.1384099,53.9523674,Mayerthorpe,Alberta
-116.9011058,55.7108375,McLennan,Alberta
-110.6775464,50.0415358,Medicine Hat,Alberta
-112.730131,52.680855,Meeting Creek,Alberta
-112.5473449,49.003384,Milk River,Alberta
-114.325876,50.756631,Millarville,Alberta
-113.4718452,53.0947494,Millet,Alberta
-112.8833329,50.566667,Milo,Alberta
-113.11168,52.464696,Mirror,Alberta
-113.6499999,53.8,Morinville,Alberta
-114.850968,51.161543,Morley,Alberta
-112.7616526,51.660903,Morrin,Alberta
-113.32507,50.717918,Mossleigh,Alberta
-114.00032,53.050862,Mulhurst Bay,Alberta
